GrossStrokeLength,Fillage,YesterdaysAverageSPM,gas_anchor_length,MAX_INCLINATION,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_LIQUID_VOLUME,AVG_WATERSG,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score,bha_configuration_PACKER_DONNAN,bha_configuration_PACKER_TAC_DONNAN,bha_configuration_TAC_ABOVE_NIP,bha_configuration_TAC_BELOW_NIP,bha_configuration_UNKNOWN,ROUTE_870,ROUTE_871,ROUTE_872,ROUTE_873,ROUTE_874,ROUTE_875,ROUTE_880,ROUTE_881,ROUTE_882,ROUTE_883,ROUTE_884,ROUTE_885,ROUTE_886,ROUTE_900,ROUTE_901,ROUTE_902,ROUTE_903,ROUTE_904,ROUTE_905,risk_score
-0.6274919999011762,0.2995144012227028,0.424622066284901,0.28637963622480345,-0.3403531439540375,0.09893389415143519,-0.1722096730118255,-0.46469997687791387,-0.14701163728141917,-0.3544100923601605,1,1708.42,1.4953746001410975,2.2361443723589463,1.302883431246761,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5886345323306604
1.007194351829232,-1.462379708032138,-1.9317425460591935,-0.009076748974765712,-0.35711515282111644,-0.34259650085821564,-0.13936912551309943,-0.2280297360692444,-0.15406302783328685,-0.3544100923601605,1,473.92,-0.9940149306325112,2.2361443723589463,-0.4148691169399957,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.617039272350601
-0.03856447249903878,0.15477029799111092,0.18853994796045617,0.4986492721934261,-0.3823664206532049,0.07647213870656216,-0.1825534123417126,-0.44813153312556114,-0.543517541847943,-0.3544100923601605,1,341.0,-0.8473451323080174,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.9214872289567091
-0.03856447249903878,0.1307444506027211,0.2735791177403227,-0.003339731786424682,-0.4579799169976906,0.07647213870656216,-0.20305582854296678,-0.12129695637552097,-0.11368825989492491,-0.3544100923601605,1,429.31,-0.4077510013943419,0.6852215335261876,0.7337418418080202,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8505195803569577
-0.10422792769600502,-0.6442141197065809,-0.8425164959850634,-0.02198503764853328,-0.07372075188050278,0.18031615033413734,-0.14950429825333314,0.07156969063372244,-0.28705947865610154,-0.3544100923601605,0,671.19,-0.9241621989856148,0.6852215335261876,-0.4148691169399957,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5680355912441145
-0.03856447249903878,0.15477029799111092,0.18853994796045617,0.4986492721934261,-0.3823664206532049,0.07647213870656216,-0.5894032346730449,0.6676558338714055,-0.4213446890403097,-0.3544100923601605,0,286.0,-1.2850172283112702,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.5635959039335057
-0.03856447249903878,-0.19094385154641427,-0.43356262431014064,-0.009076748974765712,-0.477440649689172,0.07647213870656216,0.1568693462242739,0.1334233025373773,0.3317935423467929,1.2477241555826888,1,217.0,-0.37492784632588577,-0.8657013053065707,0.7337418418080202,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7043747287509261
-0.03856447249903878,0.15477029799111092,0.18853994796045617,2.85943184519581,-0.43931137235976314,0.07647213870656216,-0.6498088071696417,0.30536378805932074,-0.6164564794887059,-0.3544100923601605,1,187.92,1.1568735090394333,-0.8657013053065707,-0.4148691169399957,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6442504608386088
0.047714682268559544,0.45720402001693916,0.424622066284901,0.49434650930217006,0.6912434485975076,-0.14373718384368026,0.5755479935444375,0.35225479445829405,0.3850712044397352,-0.3544100923601605,0,184.03,-0.3586042903912412,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.7898272437549296
-0.03856447249903878,0.15477029799111092,0.18853994796045617,0.28781389052188894,-0.4660390774755088,0.07647213870656216,-0.40161854638587763,-0.34841190958129925,-0.5086913767300217,-0.3544100923601605,1,260.0,-0.9454733183891849,-0.8657013053065707,-0.4148691169399957,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0203460971414395
-0.03856447249903878,0.15477029799111092,0.18853994796045617,3.3284330003426987,-0.3698204879356021,0.07647213870656216,-0.8631291679937585,-0.4473165855114529,0.3709009721965974,-0.3544100923601605,1,1083.0,-1.9075206494949954,-0.8657013053065707,-0.4148691169399957,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0550985691218029
-0.03856447249903878,0.15477029799111092,0.18853994796045617,3.240943488220496,-0.4404884225751547,0.07647213870656216,-0.13295218373752243,-0.20797915677150627,0.07851339133200803,-0.3544100923601605,1,510.0,1.2653100300271125,-0.8657013053065707,-0.4148691169399957,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.3246673611770607
