GrossStrokeLength,Fillage,YesterdaysAverageSPM,gas_anchor_length,MAX_INCLINATION,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_LIQUID_VOLUME,AVG_WATERSG,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score,bha_configuration_PACKER_DONNAN,bha_configuration_PACKER_TAC_DONNAN,bha_configuration_TAC_ABOVE_NIP,bha_configuration_TAC_BELOW_NIP,bha_configuration_UNKNOWN,ROUTE_870_0,ROUTE_871_0,ROUTE_872_0,ROUTE_873_0,ROUTE_874_0,ROUTE_875_0,ROUTE_880_0,ROUTE_881_0,ROUTE_882_0,ROUTE_883_0,ROUTE_884_0,ROUTE_885_0,ROUTE_886_0,ROUTE_900_0,ROUTE_901_0,ROUTE_902_0,ROUTE_903_0,ROUTE_904_0,ROUTE_905_0,risk_score
-0.5925275787925202,0.34408934871642904,0.4791687480369545,0.2866759737826519,-0.34429369888672606,0.23356564425699927,-0.1690690335493348,-0.4649988483402708,-0.14701163728141917,-0.4637794784976064,1.0,1708.42,1.491368525081312,2.2361443723589463,1.302883431246761,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5545413441699577
0.9727526916075185,-1.4217426485510414,-1.8513172869844856,-0.008764157952184264,-0.3609936102700707,-0.14701220148900748,-0.13622562738257413,-0.23043751949254662,-0.15406302783328685,-0.4637794784976064,1.0,473.92,-0.9908306424847788,2.2361443723589463,-0.4148691169399957,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.6257413683644499
-0.04195756398099646,-0.2525126353461741,0.2542057954152748,0.4989339325047675,-0.38615326704625724,-0.2010870901805578,-0.17941365399943343,-0.44856248037773966,-0.543517541847943,0.3473401305862453,1.0,341.0,-0.8445844858236284,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.8346481534792619
-0.35670889650315757,0.18854169772305976,0.347341975445481,-0.0030274563651001844,-0.46150582980334975,0.30163855366436115,-0.1999177899676016,-0.12483005037773376,-0.11368825989492491,-0.4637794784976064,1.0,429.31,-0.4062600804495232,0.6852215335261876,0.7337418418080202,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7570718915482675
-0.08746055943736372,-0.5906905543385932,-0.745563406148628,-0.021671736523123698,-0.07880213054045615,0.3037132130088299,-0.1463616923956424,0.06639739577088068,-0.28705947865610154,-0.4637794784976064,0.0,671.19,-0.9211796737622336,0.6852215335261876,-0.4148691169399957,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5787104884353836
-0.5495859465000315,0.1310185070357245,0.12759863687990433,0.4989339325047675,-0.38615326704625724,-0.31282340361462807,-0.5862918021320119,0.6613767677481485,-0.4213446890403097,-0.4637794784976064,0.0,286.0,-1.2809924079010426,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.7405616907630352
0.46727863899078786,-0.1240200310801751,-0.3238385732998493,-0.008764157952184264,-0.48090252730353794,-0.13492621599656635,0.15911812075364312,0.12810324278167953,0.3317935423467929,1.1455082809530153,1.0,217.0,-0.37353173192043804,-0.8657013053065707,0.7337418418080202,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.7359314834833003
-0.1987237746185187,0.1657793407746197,0.039909693255725125,2.8595866355899164,-0.4428998919799663,-1.2286885218316201,-0.6467006815953608,0.2996778018916319,-0.6164564794887059,-0.04234086745549107,1.0,187.92,1.1538451619571597,-0.8657013053065707,-0.4148691169399957,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.7936347516061724
0.05617037602763879,0.49116109017096005,0.4791687480369545,0.4946314063144541,0.6885990498187079,0.02439491188596162,0.5759855871147378,0.3464794385853942,0.3850712044397352,-0.4637794784976064,0.0,184.03,-0.35725532501351986,-0.8657013053065707,-0.4148691169399957,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1.7913723257229686
0.4117182332265634,-0.5424215062651592,0.3041491164707834,0.2881101491794232,-0.4695383209971837,-0.002987132620674933,-0.3984954596580644,-0.3496852931823439,-0.5086913767300217,0.4078437637828452,1.0,260.0,-0.942429238038743,-0.8657013053065707,-0.4148691169399957,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7703740480368898
